level,word,pinyin,english
7-9,变通,biàntōng,to be flexible; to be adaptable
7-9,变形,biànxíng,to become deformed; to change shape; to morph
7-9,变异,biànyì,variation
7-9,辩证,biànzhèng,to investigate; dialectical
7-9,辫子,biànzi,plait; braid; pigtail; a mistake or shortcoming that may be exploited by an opponent; handle
7-9,标,biāo,"mark; sign; label; to mark with a symbol, label, lettering etc; to bear (a brand name, registration number etc); prize; award; bid; target; quota; (old) the topmost branches of a tree; visible symptom; classifier for military units"
7-9,标榜,biāobǎng,to flaunt; to advertise; to parade; boost; excessive praise
7-9,标本,biāoběn,specimen; sample; the root cause and symptoms of a disease
7-9,标点,biāodiǎn,punctuation; a punctuation mark; to punctuate
7-9,标记,biāojì,sign; mark; symbol; to mark up; (computing) token
7-9,标签,biāoqiān,label; tag; (computing) tab (GUI element)
7-9,飙升,biāoshēng,to rise rapidly; to soar
7-9,标识,biāoshí,mark; sign; symbol; to mark or indicate; to brand; (computing) token
7-9,标示,biāoshì,to indicate
7-9,标致,biāozhì,Peugeot
7-9,表白,biǎobái,to explain oneself; to express; to reveal one's thoughts or feelings; declaration; confession
7-9,表决,biǎojué,to decide by vote; to vote
7-9,表述,biǎoshù,expression; statement
7-9,表率,biǎoshuài,example; model
7-9,憋,biē,to choke; to stifle; to restrain; to hold back; to hold in (urine); to hold (one's breath)
7-9,别看,biékàn,don't be fooled by the fact that
7-9,别墅,biéshù,villa
7-9,别说,biéshuō,to say nothing of; not to mention; let alone
7-9,别致,biézhì,unusual; unique; variant of 别致
7-9,别扭,bièniu,awkward; difficult; uncomfortable; not agreeing; at loggerheads; gauche
7-9,缤纷,bīnfēn,vast and various; rich and diverse
7-9,濒临,bīnlín,on the edge of; (fig.) on the verge of; close to
7-9,冰雹,bīngbáo,hail; hailstone
7-9,冰棍儿,bīnggùnr,ice lolly; popsicle
7-9,丙,bǐng,"third of the ten Heavenly Stems 干; third in order; letter ""C"" or Roman ""III"" in list ""A, B, C"", or ""I, II, III"" etc; ancient Chinese compass point: 165°; propyl"
7-9,秉承,bǐngchéng,to take orders; to receive commands; to carry on (a tradition)
7-9,秉持,bǐngchí,uphold; to hold to (a principle etc)
7-9,并非,bìngfēi,really isn't
7-9,并购,bìnggòu,merger and acquisition (M and A); acquisition; to take over
7-9,并肩,bìngjiān,side by side
7-9,病历,bìnglì,medical record
7-9,并列,bìngliè,to stand side by side; to be juxtaposed
7-9,并行,bìngxíng,"to proceed in parallel; side by side (of two processes, developments, thoughts etc)"
